variable,en,nl,note
about_page_text_v2,"# About Project CID

Project CID (Competency Insight Dashboard) is a national initiative to monitor and strengthen the digital competence of people in the Netherlands so they can participate safely and effectively in an increasingly digital society. Building on the validated DigIQ tool, and its extension the DigIQ2.0, measuring eleven key dimensions of digital skills (from online safety and digital health to AI and sustainable technology), Project CID tracks how different groups across the population are coping with rapid technological change, including developments like generative AI. It will do so by conducting six data-collection waves between 2024 and 2027, and all resulting data will be integrated into this dashboard.

With these timely insights, policymakers and practitioners can design targeted workshops and training for different age and education groups, develop accessible programs for vulnerable populations, and launch awareness campaigns on issues such as AI, privacy, and information reliability.

## Methodology

Project CID maps the digital competencies of the Dutch population using a mixed sampling strategy that combines an online panel with a postal address sample. The address sample specifically targets neighborhoods with higher proportions of people with lower educational levels and/or a migration background, ensuring inclusion of groups that are underrepresented in online-only research and of people with lower (digital) literacy. Data are collected via a questionnaire available in Dutch and English, which can be completed online (smartphone, tablet, computer) or on paper. Data collection for Project CID is conducted by the external research company Ipsos I&O, ensuring professional and standardized fieldwork.

Because the resulting sample differed from national benchmarks (MOA Gold Standard 2024) on key demographics, statistical weights were applied so that the results more accurately reflect the Dutch population.

More information on survey development and sampling can be found on: https://osf.io/d5c7n/

## About the Research Team

**Dr. Annemarie van Oosten** is a senior researcher, daily project manager, and contact person for the CID project. She is also a university lecturer in communication science at the University of Amsterdam, where she received her PhD in 2015. In addition to her research on digital competence, she investigates the role of (social) media in the sexual and gender attitudes and behaviors of young people.

**Roos Korderijnk, MSc.** is a junior researcher for the CID project. Roos studied Communication and Information Sciences at Utrecht University and Communication Sciences at Vrije Universiteit Amsterdam.

**Prof. Dr. Jessica Taylor Piotrowski** is the principal investigator of the DIGCOM project and the CID project. Jessica is a professor of Digital Society at the University of Amsterdam, director of the Center for research on Children, Adolescents and the Media (CcaM), and director of the Graduate School for Communication. Her research focuses on how the digital society and the development of (young) people influence each other.

**Dr. Dian A. de Vries** is Associate Professor of Digital Skills at the Utrecht University of Applied Sciences, at the lectorate Organizations in Digital Transition. Dian received her PhD from the University of Amsterdam (2014) and is co-author of De Schermwijzer: A practical guide for (grand)parents on screen time, social media, gaming, and online safety.

**Prof. Dr. Claes H. de Vreese** is co-applicant of the DIGCOM project. Claes is a university professor of Artificial Intelligence and Society at the University of Amsterdam. He is also the founder and director of the Digital Democracy Center and cofounder of the AI, Media and Democracy Lab. Claes conducts research into the role of media and artificial intelligence in democracy.

## About the Creators of the Dashboard","# Over Project CID

Project CID (Competency Insight Dashboard) is een nationaal initiatief om de digitale competentie van mensen in Nederland te monitoren en te versterken, zodat zij veilig en effectief kunnen deelnemen aan een steeds digitalere samenleving. Voortbouwend op de gevalideerde DigIQ-tool, en de uitbreiding DigIQ2.0, die elf belangrijke dimensies van digitale vaardigheden meet (van online veiligheid en digitale gezondheid tot AI en duurzame technologie), volgt Project CID hoe verschillende groepen in de bevolking omgaan met snelle technologische veranderingen, inclusief ontwikkelingen zoals generatieve AI. Dit gebeurt door zes dataverzamelingsrondes uit te voeren tussen 2024 en 2027, en alle resulterende data worden geïntegreerd in dit dashboard.

Met deze tijdige inzichten kunnen beleidsmakers en praktijkmensen gerichte workshops en trainingen ontwerpen voor verschillende leeftijds- en opleidingsgroepen, toegankelijke programma's ontwikkelen voor kwetsbare populaties, en bewustwordingscampagnes lanceren over onderwerpen zoals AI, privacy en informatiebetrouwbaarheid.

## Methodologie

Project CID brengt de digitale competenties van de Nederlandse bevolking in kaart met behulp van een gemengde steekproefstrategie die een online panel combineert met een adressteekproef. De adressteekproef richt zich specifiek op buurten met hogere proporties mensen met lagere opleidingsniveaus en/of een migratieachtergrond, om inclusie te waarborgen van groepen die ondervertegenwoordigd zijn in alleen-online onderzoek en van mensen met lagere (digitale) geletterdheid. Data worden verzameld via een vragenlijst beschikbaar in het Nederlands en Engels, die online (smartphone, tablet, computer) of op papier kan worden ingevuld. Dataverzameling voor Project CID wordt uitgevoerd door het externe onderzoeksbureau Ipsos I&O, wat professioneel en gestandaardiseerd veldwerk garandeert.

Omdat de resulterende steekproef verschilde van nationale benchmarks (MOA Gold Standard 2024) op belangrijke demografische kenmerken, werden statistische wegingen toegepast zodat de resultaten de Nederlandse bevolking nauwkeuriger weerspiegelen.

Meer informatie over enquêteontwikkeling en steekproeftrekking is te vinden op: https://osf.io/d5c7n/

## Over het Onderzoeksteam

**Dr. Annemarie van Oosten** is senior onderzoeker, dagelijks projectmanager en contactpersoon voor het CID-project.

**Roos Korderijnk, MSc.** is junior onderzoeker voor het CID-project.

**Prof. Dr. Jessica Taylor Piotrowski** is hoofdonderzoeker van het DIGCOM-project en het CID-project.

**Dr. Dian A. de Vries** is Associate Professor Digital Skills aan de Hogeschool Utrecht.

**Prof. Dr. Claes H. de Vreese** is co-aanvrager van het DIGCOM-project.

## Over de Makers van het Dashboard",New about page content from about_page.md
ronde1_page_text,"# Wave 1

## Sample

Data from Wave 1 in this dashboard is based on the completed questionnaires of **2,417 participants**, of which 2,156 via an online panel and 261 via an address sample (paper-and-pencil questionnaire). Data collection took place in **December 2024**.

## Finding Highlights

Data from this first wave shows that Dutch people generally feel digitally skilled, and this often matches their knowledge, but not always their actual behavior and performance—especially in areas like online health and well-being and netiquette, where important ""blind spots"" emerge.

Skills and knowledge related to (gen)AI are particularly low: children, older adults, and lower-educated groups score poorly on understanding AI-driven personalization, privacy risks, and the reliability of AI-generated information, and are not well-equipped to use genAI effectively. Overall, differences in digital competence are mainly driven by age and education level rather than migration background.

## What to use this data for?

These findings underscore the need for targeted workshops, accessible training for vulnerable groups, and awareness campaigns, especially around genAI. Using the dashboard, policymakers and practitioners can zoom in on specific skills and see how different groups (e.g., by age or education level) score on their self-confidence, their actual knowledge of digital technology, and their performance and behaviors. They can explore all 11 measured areas—such as critical information skills, online security, online health and well-being, AI and genAI skills, and transactional skills—and identify where blind spots are largest (high confidence but low knowledge or performance). This enables them to prioritize which groups need support on which skills, design tailored interventions (e.g., focused workshops or campaigns), and monitor over time whether these efforts are closing digital competence gaps.","# Ronde 1

## Steekproef

De data uit ronde 1 in dit dashboard zijn gebaseerd op de ingevulde vragenlijsten van **2.417 deelnemers**, waarvan 2.156 via een online panel en 261 via een adressteekproef (papieren vragenlijst). De dataverzameling vond plaats in **december 2024**.

## Belangrijkste Bevindingen

Data uit deze eerste ronde laten zien dat Nederlanders zich over het algemeen digitaal vaardig voelen, en dit komt vaak overeen met hun kennis, maar niet altijd met hun daadwerkelijke gedrag en prestaties—vooral op gebieden zoals online gezondheid en welzijn en netiquette, waar belangrijke ""blinde vlekken"" naar voren komen.

Vaardigheden en kennis gerelateerd aan (gen)AI zijn bijzonder laag: kinderen, ouderen en lager opgeleiden scoren slecht op het begrijpen van AI-gedreven personalisatie, privacyrisico's en de betrouwbaarheid van AI-gegenereerde informatie.

## Waarvoor kunt u deze data gebruiken?

Deze bevindingen onderstrepen de behoefte aan gerichte workshops, toegankelijke training voor kwetsbare groepen en bewustwordingscampagnes, vooral rond genAI. Met het dashboard kunnen beleidsmakers en praktijkmensen inzoomen op specifieke vaardigheden en zien hoe verschillende groepen scoren op hun zelfvertrouwen, kennis en prestaties.",Wave 1 page content from wave1.md
w1_header_demographics,Demographics,Demografie,Wave 1 page section headers
w1_header_age_group,Age Group,Leeftijdsgroep,
w1_header_gender,Gender,Geslacht,
w1_header_education,Education Level,Opleidingsniveau,
w1_header_migration,Migration Background,Migratieachtergrond,
w1_header_panel,Panel Type,Paneltype,
w1_header_device_computer,Use of Devices: Computer,Gebruik van apparaten: Computer,
w1_header_device_tablet,Use of Devices: Tablet,Gebruik van apparaten: Tablet,
w1_header_device_phone,Use of Devices: Phone,Gebruik van apparaten: Telefoon,
w1_header_literacy,General Literacy,Algemene geletterdheid,
w1_header_work,Work Status,Werkstatus,
w1_header_work_hours,Hours of Work with Computer (Employed Only),Uren werken met computer (alleen werkenden),
w1_header_financial,Financial Insecurity,Financiële onzekerheid,
w1_header_correlations,Correlations with Skills Knowledge and Performance,Correlaties met vaardigheden kennis en prestaties,
w1_label_mean_age,Mean age,Gemiddelde leeftijd,
w1_cor_title,Spearman Correlations: Skills Knowledge Performance & Demographics,Spearman correlaties: Vaardigheden Kennis Prestaties & Demografie,
w1_device_never,Never,Nooit,Device usage scale
w1_device_almost_never,Almost never,Bijna nooit,
w1_device_sometimes,Sometimes,Soms,
w1_device_often,Often,Vaak,
w1_device_very_often,Very often,Heel vaak,
w1_lit_never,Never need help,Heb nooit hulp nodig,Literacy scale
w1_lit_almost_never,Almost never need help,Heb bijna nooit hulp nodig,
w1_lit_sometimes,Sometimes need help,Heb soms hulp nodig,
w1_lit_often,Often need help,Heb vaak hulp nodig,
w1_lit_very_often,Very often need help,Heb heel vaak hulp nodig,
w1_work_student,Student,Student,Work status
w1_work_employed,Employed,Werkzaam,
w1_work_housekeeper,Housekeeper,Huisvrouw/-man,
w1_work_unemployed,Unemployed,Werkloos,
w1_work_retired,Retired,Gepensioneerd,
w1_work_volunteer,Volunteer,Vrijwilliger,
w1_work_other,Other,Anders,
w1_fin_completely_untrue,Completely untrue,Helemaal onwaar,Financial insecurity scale
w1_fin_slightly_untrue,Slightly untrue,Een beetje onwaar,
w1_fin_neither,Not true and not untrue,Niet onwaar en niet waar,
w1_fin_slightly_true,Slightly true,Een beetje waar,
w1_fin_completely_true,Completely true,Helemaal waar,
w1_panel,Panel,Panel,Panel type
w1_address,Address,Adres,
w1_work2_n,N (employed),N (werkzaam),Work hours summary
w1_work2_mean,Mean hours,Gemiddeld uren,
w1_work2_median,Median hours,Mediaan uren,
strategic_info_perf_q1_infobox_image,PSIS1RC_infobox_image.png,PSIS1RC_infobox_image.png,Placeholder - replace with actual image
genai_perf_q1_infobox_image,PGAIS1RC_infobox_image.png,PGAIS1RC_infobox_image.png,Placeholder - replace with actual image
